Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Patrick Mahomes;KC;370.22;20.3;ACTIVE;QB
1;Josh Allen;BUF;374.7;35.1;ACTIVE;QB
2;Kyler Murray;ARI;355.28;42.5;ACTIVE;QB
3;Lamar Jackson;BAL;331.15;49.2;OUT;QB
4;Dak Prescott;DAL;344.2;53.4;QUESTIONABLE;QB
5;Aaron Rodgers;GB;317.44;67.1;ACTIVE;QB
6;Russell Wilson;SEA;314.28;65.9;ACTIVE;QB
7;Justin Herbert;LAC;310.12;59.6;ACTIVE;QB
8;Tom Brady;TB;315.94;80.2;ACTIVE;QB
9;Ryan Tannehill;TEN;293.83;97.7;ACTIVE;QB
10;Jalen Hurts;PHI;293.16;96.1;ACTIVE;QB
11;Joe Burrow;CIN;286.83;102.7;ACTIVE;QB
12;Matthew Stafford;LAR;282.12;83.2;ACTIVE;QB
13;Trevor Lawrence;JAX;268.69;123.0;ACTIVE;QB
14;Deshaun Watson;HOU;0.0;125.3;ACTIVE;QB
15;Matt Ryan;ATL;269.71;118.5;ACTIVE;QB
16;Baker Mayfield;CLE;264.42;135.1;ACTIVE;QB
17;Tua Tagovailoa;MIA;265.04;164.1;ACTIVE;QB
18;Justin Fields;CHI;253.87;156.1;ACTIVE;QB
19;Ben Roethlisberger;PIT;263.68;162.1;ACTIVE;QB
20;Kirk Cousins;MIN;262.3;150.0;ACTIVE;QB
21;Cam Newton;NE;134.65;153.4;ACTIVE;QB
22;Ryan Fitzpatrick;WSH;264.71;161.4;ACTIVE;QB
23;Daniel Jones;NYG;269.29;166.4;ACTIVE;QB
24;Carson Wentz;IND;238.98;141.8;QUESTIONABLE;QB
25;Trey Lance;SF;225.09;156.2;ACTIVE;QB
26;Zach Wilson;NYJ;241.8;168.8;ACTIVE;QB
27;Derek Carr;OAK;261.48;166.6;ACTIVE;QB
28;Jameis Winston;NO;182.64;167.2;ACTIVE;QB
29;Taysom Hill;NO;161.45;161.6;ACTIVE;QB
30;Sam Darnold;CAR;223.19;191.0;ACTIVE;QB
31;Jared Goff;DET;252.25;169.8;ACTIVE;QB
32;Mac Jones;NE;138.69;232.0;ACTIVE;QB
33;Jimmy Garoppolo;SF;80.14;240.0;ACTIVE;QB
34;Tyrod Taylor;HOU;176.12;248.0;ACTIVE;QB
35;Drew Lock;DEN;150.47;265.0;ACTIVE;QB
36;Jordan Love;GB;12.67;276.0;ACTIVE;QB
37;Teddy Bridgewater;DEN;120.33;278.0;ACTIVE;QB
38;Andy Dalton;CHI;39.04;285.0;ACTIVE;QB
39;Trace McSorley;BAL;19.63;295.0;ACTIVE;QB
40;Kyle Trask;TB;22.37;333.0;ACTIVE;QB
41;Kellen Mond;MIN;11.83;354.0;ACTIVE;QB
42;Mitchell Trubisky;BUF;18.08;367.0;ACTIVE;QB
43;Gardner Minshew II;JAX;13.39;383.0;ACTIVE;QB
44;Jacob Eason;IND;29.98;433.0;ACTIVE;QB
45;Davis Mills;HOU;95.85;443.0;ACTIVE;QB
46;Taylor Heinicke;WSH;27.79;467.0;ACTIVE;QB
47;Dwayne Haskins;PIT;0.0;476.0;ACTIVE;QB
48;Marcus Mariota;OAK;12.82;479.0;ACTIVE;QB
49;Drew Brees;NO;0.0;488.0;ACTIVE;QB
