Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Dalvin Cook;MIN;302.51;2.6;ACTIVE;RB
1;Derrick Henry;TEN;285.13;3.7;ACTIVE;RB
2;Christian McCaffrey;CAR;333.72;1.3;ACTIVE;RB
3;Alvin Kamara;NO;295.28;3.8;ACTIVE;RB
4;Saquon Barkley;NYG;302.96;7.2;OUT;RB
5;Nick Chubb;CLE;261.63;6.9;ACTIVE;RB
6;Aaron Jones;GB;267.87;11.8;ACTIVE;RB
7;Ezekiel Elliott;DAL;272.43;5.3;ACTIVE;RB
8;Jonathan Taylor;IND;265.21;7.7;ACTIVE;RB
9;Austin Ekeler;LAC;263.48;10.6;ACTIVE;RB
10;Joe Mixon;CIN;241.39;18.1;ACTIVE;RB
11;Antonio Gibson;WSH;250.19;16.1;ACTIVE;RB
12;Josh Jacobs;OAK;227.03;33.7;ACTIVE;RB
13;Miles Sanders;PHI;240.54;32.8;ACTIVE;RB
14;D'Andre Swift;DET;240.96;29.9;ACTIVE;RB
15;Clyde Edwards-Helaire;KC;241.16;18.0;ACTIVE;RB
16;Chris Carson;SEA;231.4;28.1;ACTIVE;RB
17;Najee Harris;PIT;245.21;14.3;ACTIVE;RB
18;J.K. Dobbins;BAL;216.7;23.4;ACTIVE;RB
19;David Montgomery;CHI;226.24;28.3;ACTIVE;RB
20;Myles Gaskin;MIA;220.75;38.0;ACTIVE;RB
21;Kareem Hunt;CLE;180.85;46.0;ACTIVE;RB
22;James Robinson;JAX;174.08;47.1;ACTIVE;RB
23;Chase Edmonds;ARI;203.15;60.0;ACTIVE;RB
24;Travis Etienne Jr.;JAX;199.56;50.4;ACTIVE;RB
25;Mike Davis;ATL;185.76;40.7;ACTIVE;RB
26;Raheem Mostert;SF;153.95;57.1;ACTIVE;RB
27;Leonard Fournette;TB;159.61;77.6;ACTIVE;RB
28;David Johnson;HOU;174.33;83.8;ACTIVE;RB
29;Melvin Gordon III;DEN;146.58;72.2;ACTIVE;RB
30;Kenyan Drake;OAK;172.56;94.0;ACTIVE;RB
31;Javonte Williams;DEN;173.74;62.6;ACTIVE;RB
32;James Conner;ARI;163.11;87.2;QUESTIONABLE;RB
33;Ronald Jones II;TB;139.89;81.7;ACTIVE;RB
34;Darrell Henderson Jr.;LAR;225.18;82.3;QUESTIONABLE;RB
35;Damien Harris;NE;163.9;65.2;ACTIVE;RB
36;Cam Akers;LAR;0.0;92.4;OUT;RB
37;Nyheim Hines;IND;141.4;112.0;QUESTIONABLE;RB
38;Michael Carter;NYJ;139.24;72.1;ACTIVE;RB
39;AJ Dillon;GB;141.76;101.1;ACTIVE;RB
40;Devin Singletary;BUF;126.8;102.8;ACTIVE;RB
41;Zack Moss;BUF;149.51;87.2;QUESTIONABLE;RB
42;Trey Sermon;SF;118.28;75.0;ACTIVE;RB
43;J.D. McKissic;WSH;142.07;100.4;ACTIVE;RB
44;Jamaal Williams;DET;137.46;107.4;ACTIVE;RB
45;Tarik Cohen;CHI;134.6;129.9;OUT;RB
46;James White;NE;140.63;135.4;ACTIVE;RB
47;Latavius Murray;NO;120.49;113.9;ACTIVE;RB
48;Tony Pollard;DAL;109.94;103.8;ACTIVE;RB
49;Alexander Mattison;MIN;110.36;113.0;ACTIVE;RB
50;Gus Edwards;BAL;117.67;98.2;OUT;RB
51;Tevin Coleman;NYJ;96.05;128.6;ACTIVE;RB
52;Phillip Lindsay;HOU;102.76;123.2;ACTIVE;RB
53;Darrel Williams;KC;94.5;162.1;ACTIVE;RB
54;Chuba Hubbard;CAR;56.02;142.4;ACTIVE;RB
55;Sony Michel;NE;83.56;171.6;ACTIVE;RB
56;Giovani Bernard;TB;103.0;135.2;ACTIVE;RB
57;Rashaad Penny;SEA;86.42;132.0;ACTIVE;RB
58;Darrynton Evans;TEN;95.25;171.4;ACTIVE;RB
59;Todd Gurley II;None;0.0;157.8;ACTIVE;RB
60;Jeff Wilson Jr.;SF;0.0;159.7;OUT;RB
61;Devontae Booker;NYG;57.33;159.4;ACTIVE;RB
62;Marlon Mack;IND;57.89;150.3;ACTIVE;RB
63;Salvon Ahmed;MIA;84.82;161.1;ACTIVE;RB
64;Benny Snell Jr.;PIT;39.46;162.2;ACTIVE;RB
65;Xavier Jones;LAR;69.99;145.4;ACTIVE;RB
66;Justin Jackson;LAC;48.28;164.9;ACTIVE;RB
67;Wayne Gallman II;SF;56.57;162.9;ACTIVE;RB
68;Mark Ingram II;HOU;40.95;165.6;ACTIVE;RB
69;Kenneth Gainwell;PHI;46.45;158.3;ACTIVE;RB
70;Damien Williams;CHI;41.77;158.1;ACTIVE;RB
71;Malcolm Brown;MIA;69.72;167.2;ACTIVE;RB
72;Le'Veon Bell;None;0.0;167.8;ACTIVE;RB
73;Joshua Kelley;LAC;69.48;169.4;ACTIVE;RB
74;Ty Johnson;NYJ;77.26;221.0;ACTIVE;RB
