Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Travis Kelce;KC;306.03;9.0;ACTIVE;TE
1;George Kittle;SF;225.54;27.4;ACTIVE;TE
2;Darren Waller;OAK;242.14;22.5;ACTIVE;TE
3;Mark Andrews;BAL;200.2;51.6;ACTIVE;TE
4;T.J. Hockenson;DET;198.55;56.2;ACTIVE;TE
5;Kyle Pitts;ATL;193.14;39.0;ACTIVE;TE
6;Logan Thomas;WSH;175.95;77.8;ACTIVE;TE
7;Dallas Goedert;PHI;158.95;74.8;ACTIVE;TE
8;Robert Tonyan;GB;152.7;88.2;ACTIVE;TE
9;Noah Fant;DEN;146.17;83.2;ACTIVE;TE
10;Mike Gesicki;MIA;141.76;142.5;ACTIVE;TE
11;Rob Gronkowski;TB;124.07;121.9;ACTIVE;TE
12;Irv Smith Jr.;MIN;136.24;146.5;ACTIVE;TE
13;Jonnu Smith;NE;135.31;154.6;ACTIVE;TE
14;Evan Engram;NYG;131.09;110.2;ACTIVE;TE
15;Eric Ebron;PIT;130.39;142.9;QUESTIONABLE;TE
16;Hunter Henry;NE;123.46;94.7;ACTIVE;TE
17;Austin Hooper;CLE;130.41;157.5;ACTIVE;TE
18;Tyler Higbee;LAR;128.44;125.8;ACTIVE;TE
19;Cole Kmet;CHI;118.88;158.0;ACTIVE;TE
20;Adam Trautman;NO;122.9;150.9;ACTIVE;TE
21;Zach Ertz;PHI;96.92;159.7;ACTIVE;TE
22;Jared Cook;LAC;113.85;154.5;ACTIVE;TE
23;Blake Jarwin;DAL;118.56;167.0;ACTIVE;TE
24;Anthony Firkser;TEN;111.8;170.3;ACTIVE;TE
25;Gerald Everett;SEA;100.85;165.1;ACTIVE;TE
26;O.J. Howard;TB;97.63;164.5;QUESTIONABLE;TE
27;Tim Tebow;JAX;0.0;167.5;ACTIVE;TE
28;Hayden Hurst;ATL;90.31;282.0;ACTIVE;TE
29;Dawson Knox;BUF;89.07;299.0;ACTIVE;TE
30;Pat Freiermuth;PIT;33.77;302.0;ACTIVE;TE
31;Chris Herndon;NYJ;73.85;305.0;ACTIVE;TE
32;Dalton Schultz;DAL;78.84;325.0;ACTIVE;TE
33;Jimmy Graham;CHI;66.79;329.0;ACTIVE;TE
34;Jack Doyle;IND;92.88;332.0;ACTIVE;TE
35;Jordan Akins;HOU;105.2;333.0;ACTIVE;TE
36;Dan Arnold;CAR;79.03;338.0;ACTIVE;TE
37;David Njoku;CLE;46.89;350.0;ACTIVE;TE
38;Will Dissly;SEA;72.18;355.0;ACTIVE;TE
39;Kyle Rudolph;NYG;61.67;362.0;OUT;TE
40;C.J. Uzomah;CIN;91.23;365.0;ACTIVE;TE
41;Mo Alie-Cox;IND;79.05;373.0;ACTIVE;TE
42;Harrison Bryant;CLE;46.74;376.0;ACTIVE;TE
43;Donald Parham Jr.;LAC;77.56;381.0;ACTIVE;TE
44;Hunter Long;MIA;19.51;384.0;ACTIVE;TE
45;Brevin Jordan;HOU;17.73;385.0;ACTIVE;TE
46;Noah Gray;KC;10.51;388.0;ACTIVE;TE
47;Albert Okwuegbunam;DEN;48.52;391.0;QUESTIONABLE;TE
48;Jacob Harris;LAR;30.28;403.0;QUESTIONABLE;TE
49;Tommy Tremble;CAR;8.45;404.0;ACTIVE;TE
