Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Tyreek Hill;KC;308.79;10.0;ACTIVE;WR
1;Davante Adams;GB;320.75;10.3;ACTIVE;WR
2;Stefon Diggs;BUF;303.39;14.0;ACTIVE;WR
3;DeAndre Hopkins;ARI;290.99;16.1;QUESTIONABLE;WR
4;DK Metcalf;SEA;274.66;18.2;ACTIVE;WR
5;Justin Jefferson;MIN;260.82;23.0;ACTIVE;WR
6;A.J. Brown;TEN;270.27;25.4;ACTIVE;WR
7;Calvin Ridley;ATL;279.38;19.7;ACTIVE;WR
8;Keenan Allen;LAC;254.94;27.0;ACTIVE;WR
9;Mike Evans;TB;242.73;41.3;ACTIVE;WR
10;Terry McLaurin;WSH;254.58;30.8;ACTIVE;WR
11;Allen Robinson II;CHI;244.1;33.2;ACTIVE;WR
12;Julio Jones;TEN;230.82;37.6;ACTIVE;WR
13;Amari Cooper;DAL;254.95;43.7;OUT;WR
14;Adam Thielen;MIN;241.9;51.5;ACTIVE;WR
15;Michael Thomas;NO;185.15;43.5;OUT;WR
16;CeeDee Lamb;DAL;244.2;32.3;ACTIVE;WR
17;Robert Woods;LAR;252.44;42.7;ACTIVE;WR
18;Tyler Lockett;SEA;231.67;59.8;ACTIVE;WR
19;Chris Godwin;TB;225.09;47.6;ACTIVE;WR
20;DJ Moore;CAR;233.42;55.5;ACTIVE;WR
21;Kenny Golladay;NYG;216.29;65.2;ACTIVE;WR
22;Diontae Johnson;PIT;232.53;53.2;ACTIVE;WR
23;Cooper Kupp;LAR;236.62;48.6;ACTIVE;WR
24;Odell Beckham Jr.;CLE;209.3;62.6;QUESTIONABLE;WR
25;JuJu Smith-Schuster;PIT;216.7;84.6;ACTIVE;WR
26;Ja'Marr Chase;CIN;218.55;62.5;ACTIVE;WR
27;Chase Claypool;PIT;215.21;72.9;ACTIVE;WR
28;Brandon Aiyuk;SF;218.05;66.6;ACTIVE;WR
29;Courtland Sutton;DEN;224.19;80.4;QUESTIONABLE;WR
30;Tee Higgins;CIN;215.7;70.9;ACTIVE;WR
31;Robby Anderson;CAR;215.43;91.4;ACTIVE;WR
32;Brandin Cooks;HOU;215.94;103.3;ACTIVE;WR
33;DJ Chark Jr.;JAX;203.76;85.5;ACTIVE;WR
34;Tyler Boyd;CIN;206.04;100.5;ACTIVE;WR
35;Deebo Samuel;SF;193.79;89.3;ACTIVE;WR
36;Jerry Jeudy;DEN;202.83;85.6;ACTIVE;WR
37;DeVonta Smith;PHI;197.55;78.8;ACTIVE;WR
38;Laviska Shenault Jr.;JAX;208.38;98.1;ACTIVE;WR
39;Jarvis Landry;CLE;195.82;109.9;ACTIVE;WR
40;Curtis Samuel;WSH;204.8;114.0;OUT;WR
41;William Fuller V;MIA;192.32;105.5;SUSPENSION;WR
42;Michael Gallup;DAL;204.77;130.1;ACTIVE;WR
43;Jaylen Waddle;MIA;179.9;116.0;ACTIVE;WR
44;Marquise Brown;BAL;191.16;123.3;QUESTIONABLE;WR
45;Antonio Brown;TB;174.42;91.9;ACTIVE;WR
46;Corey Davis;NYJ;181.45;136.4;ACTIVE;WR
47;Cole Beasley;BUF;183.43;141.5;ACTIVE;WR
48;Henry Ruggs III;OAK;172.73;126.4;ACTIVE;WR
49;Marvin Jones Jr.;JAX;168.92;126.0;ACTIVE;WR
50;Mike Williams;LAC;176.79;109.0;ACTIVE;WR
51;T.Y. Hilton;IND;167.65;133.1;ACTIVE;WR
52;Jalen Reagor;PHI;178.16;173.8;QUESTIONABLE;WR
53;DeVante Parker;MIA;160.41;152.1;OUT;WR
54;Mecole Hardman;KC;161.88;117.6;ACTIVE;WR
55;Darnell Mooney;CHI;163.74;132.7;ACTIVE;WR
56;Michael Pittman Jr.;IND;148.62;93.5;ACTIVE;WR
57;Jamison Crowder;NYJ;143.19;172.2;ACTIVE;WR
58;Nelson Agholor;NE;160.14;170.4;ACTIVE;WR
59;Russell Gage;ATL;158.2;129.7;ACTIVE;WR
60;A.J. Green;ARI;134.69;160.3;ACTIVE;WR
61;Parris Campbell;IND;147.72;163.1;ACTIVE;WR
62;Elijah Moore;NYJ;157.7;138.9;ACTIVE;WR
63;Rashod Bateman;BAL;138.3;158.7;ACTIVE;WR
64;Kadarius Toney;NYG;128.26;161.8;ACTIVE;WR
65;John Brown;OAK;135.29;169.3;ACTIVE;WR
66;Allen Lazard;GB;90.21;163.1;ACTIVE;WR
67;Jakobi Meyers;NE;161.7;163.4;ACTIVE;WR
68;Tre'Quan Smith;NO;122.61;155.3;ACTIVE;WR
69;Randall Cobb;GB;151.27;156.7;ACTIVE;WR
70;Sterling Shepard;NYG;140.8;166.2;ACTIVE;WR
71;Breshad Perriman;DET;152.22;166.4;ACTIVE;WR
72;Tyrell Williams;DET;151.71;166.8;ACTIVE;WR
73;Emmanuel Sanders;BUF;113.57;161.9;ACTIVE;WR
74;Terrace Marshall Jr.;CAR;121.19;180.0;ACTIVE;WR
