Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Patrick Mahomes;KC;370.22;16.3;ACTIVE;QB
1;Josh Allen;BUF;374.7;34.9;ACTIVE;QB
2;Kyler Murray;ARI;355.28;39.9;ACTIVE;QB
3;Lamar Jackson;BAL;331.15;44.6;OUT;QB
4;Dak Prescott;DAL;344.2;47.0;QUESTIONABLE;QB
5;Aaron Rodgers;GB;317.44;53.9;ACTIVE;QB
6;Russell Wilson;SEA;314.28;55.2;ACTIVE;QB
7;Justin Herbert;LAC;310.12;62.0;ACTIVE;QB
8;Tom Brady;TB;315.94;77.2;ACTIVE;QB
9;Ryan Tannehill;TEN;293.83;81.0;ACTIVE;QB
10;Jalen Hurts;PHI;293.16;85.8;ACTIVE;QB
11;Joe Burrow;CIN;286.83;90.3;ACTIVE;QB
12;Matthew Stafford;LAR;282.12;95.6;ACTIVE;QB
13;Trevor Lawrence;JAX;268.69;97.5;ACTIVE;QB
14;Deshaun Watson;HOU;0.0;110.7;ACTIVE;QB
15;Matt Ryan;ATL;269.71;115.1;ACTIVE;QB
16;Baker Mayfield;CLE;264.42;126.8;ACTIVE;QB
17;Tua Tagovailoa;MIA;265.04;134.6;ACTIVE;QB
18;Justin Fields;CHI;253.87;136.3;ACTIVE;QB
19;Ben Roethlisberger;PIT;263.68;142.1;ACTIVE;QB
20;Kirk Cousins;MIN;262.3;149.8;ACTIVE;QB
21;Cam Newton;NE;134.65;152.6;ACTIVE;QB
22;Ryan Fitzpatrick;WSH;264.71;153.0;ACTIVE;QB
23;Daniel Jones;NYG;269.29;154.1;ACTIVE;QB
24;Carson Wentz;IND;238.98;154.4;QUESTIONABLE;QB
25;Trey Lance;SF;225.09;158.4;ACTIVE;QB
26;Zach Wilson;NYJ;241.8;163.0;ACTIVE;QB
27;Derek Carr;OAK;261.48;163.3;ACTIVE;QB
28;Jameis Winston;NO;182.64;163.6;ACTIVE;QB
29;Taysom Hill;NO;161.45;164.2;ACTIVE;QB
30;Sam Darnold;CAR;223.19;191.0;ACTIVE;QB
31;Jared Goff;DET;252.25;193.0;ACTIVE;QB
32;Mac Jones;NE;138.69;232.0;ACTIVE;QB
33;Jimmy Garoppolo;SF;80.14;240.0;ACTIVE;QB
34;Tyrod Taylor;HOU;176.12;248.0;ACTIVE;QB
35;Drew Lock;DEN;150.47;265.0;ACTIVE;QB
36;Jordan Love;GB;12.67;276.0;ACTIVE;QB
37;Teddy Bridgewater;DEN;120.33;278.0;ACTIVE;QB
38;Andy Dalton;CHI;39.04;285.0;ACTIVE;QB
39;Trace McSorley;BAL;19.63;295.0;ACTIVE;QB
40;Kyle Trask;TB;22.37;333.0;ACTIVE;QB
41;Kellen Mond;MIN;11.83;354.0;ACTIVE;QB
42;Mitchell Trubisky;BUF;18.08;367.0;ACTIVE;QB
43;Gardner Minshew II;JAX;13.39;383.0;ACTIVE;QB
44;Jacob Eason;IND;29.98;433.0;ACTIVE;QB
45;Davis Mills;HOU;95.85;443.0;ACTIVE;QB
46;Taylor Heinicke;WSH;27.79;467.0;ACTIVE;QB
47;Dwayne Haskins;PIT;0.0;476.0;ACTIVE;QB
48;Marcus Mariota;OAK;12.82;479.0;ACTIVE;QB
49;Drew Brees;NO;0.0;488.0;ACTIVE;QB
