,Unnamed: 0,Name,Team,Bye,Age,Pos,PosRank,Points,ADP
0,0,Patrick Mahomes,KC,12,25,QB,QB1,370.22,16.3
1,1,Josh Allen,BUF,7,25,QB,QB2,374.7,34.9
2,2,Kyler Murray,ARI,12,23,QB,QB3,355.28,39.9
3,3,Dak Prescott,DAL,7,27,QB,QB4,331.15,44.6
4,4,Lamar Jackson,BAL,8,24,QB,QB5,344.2,47.0
5,5,Russell Wilson,SEA,9,32,QB,QB6,317.44,53.9
6,6,Justin Herbert,LAC,7,23,QB,QB7,314.28,55.2
7,7,Aaron Rodgers,GB,13,37,QB,QB8,310.12,62.0
8,8,Tom Brady,TB,9,43,QB,QB9,315.94,77.2
9,9,Jalen Hurts,PHI,14,22,QB,QB10,293.83,81.0
10,10,Joe Burrow,CIN,10,24,QB,QB11,293.16,85.8
11,11,Matthew Stafford,LAR,11,33,QB,QB12,286.83,90.3
12,12,Deshaun Watson,HOU,10,25,QB,QB13,282.12,95.6
13,13,Ryan Tannehill,TEN,13,32,QB,QB14,268.69,97.5
14,14,Matt Ryan,ATL,6,36,QB,QB15,0.0,110.7
15,15,Trevor Lawrence,JAX,7,21,QB,QB16,269.71,115.1
16,16,Carson Wentz,IND,14,28,QB,QB17,264.42,126.8
17,17,Ben Roethlisberger,PIT,7,39,QB,QB18,265.04,134.6
18,18,Cam Newton,NE,14,32,QB,QB19,253.87,136.3
19,19,Jameis Winston,NO,6,27,QB,QB20,263.68,142.1
20,20,Kirk Cousins,MIN,7,32,QB,QB21,262.3,149.8
21,21,Baker Mayfield,CLE,13,26,QB,QB22,134.65,152.6
22,22,Taysom Hill,NO,6,30,QB,QB23,264.71,153.0
23,23,Tua Tagovailoa,MIA,14,23,QB,QB24,269.29,154.1
24,24,Trey Lance,SF,6,21,QB,QB25,238.98,154.4
25,25,Derek Carr,LV,8,30,QB,QB26,225.09,158.4
26,26,Jared Goff,DET,9,26,QB,QB27,241.8,163.0
27,27,Ryan Fitzpatrick,WAS,9,38,QB,QB28,261.48,163.3
28,28,Daniel Jones,NYG,10,24,QB,QB29,182.64,163.6
29,29,Justin Fields,CHI,10,22,QB,QB30,153.37,164.2
30,30,Zach Wilson,NYJ,6,21,QB,QB31,223.19,191.0
31,31,Sam Darnold,CAR,13,24,QB,QB32,252.25,193.0
32,32,Teddy Bridgewater,DEN,11,28,QB,QB33,138.69,232.0
33,33,Tyrod Taylor,HOU,10,31,QB,QB34,80.14,240.0
34,34,Drew Lock,DEN,11,24,QB,QB35,176.12,248.0
35,35,Mac Jones,NE,14,22,QB,QB36,150.47,265.0
36,36,Jordan Love,GB,13,22,QB,QB37,12.67,276.0
37,37,Jimmy Garoppolo,SF,6,29,QB,QB38,120.33,278.0
38,38,Davis Mills,HOU,10,22,QB,QB39,39.04,285.0
39,39,Andy Dalton,CHI,10,33,QB,QB40,19.63,295.0
40,40,Gardner Minshew II,JAX,7,25,QB,QB41,22.37,333.0
41,41,Blake Bortles,GB,13,29,QB,QB42,11.83,354.0
42,42,Marcus Mariota,LV,8,27,QB,QB43,18.08,367.0
43,43,Mitchell Trubisky,BUF,7,26,QB,QB44,13.39,383.0
44,44,Kyle Trask,TB,9,23,QB,QB45,29.98,433.0
45,45,Kyle Allen,WAS,9,25,QB,QB46,95.85,443.0
46,46,Taylor Heinicke,WAS,9,28,QB,QB47,27.79,467.0
47,47,Jacoby Brissett,MIA,14,28,QB,QB48,0.0,476.0
48,48,Joe Flacco,PHI,14,36,QB,QB49,12.82,479.0
49,49,Brandon Allen,CIN,10,28,QB,QB50,0.0,488.0
