Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Dalvin Cook;MIN;251.71;2.5;ACTIVE;RB
1;Derrick Henry;TEN;258.0;2.7;ACTIVE;RB
2;Christian McCaffrey;CAR;248.23;1.3;ACTIVE;RB
3;Alvin Kamara;NO;218.37;4.4;ACTIVE;RB
4;Saquon Barkley;NYG;243.33;7.5;OUT;RB
5;Nick Chubb;CLE;226.85;6.0;ACTIVE;RB
6;Aaron Jones;GB;211.15;10.1;ACTIVE;RB
7;Ezekiel Elliott;DAL;218.46;5.3;ACTIVE;RB
8;Jonathan Taylor;IND;223.96;6.9;ACTIVE;RB
9;Austin Ekeler;LAC;189.13;12.2;ACTIVE;RB
10;Joe Mixon;CIN;193.33;17.2;ACTIVE;RB
11;Antonio Gibson;WSH;204.52;14.3;ACTIVE;RB
12;Josh Jacobs;OAK;192.53;23.7;ACTIVE;RB
13;Miles Sanders;PHI;198.06;32.0;ACTIVE;RB
14;D'Andre Swift;DET;175.04;32.4;ACTIVE;RB
15;Clyde Edwards-Helaire;KC;188.83;18.2;ACTIVE;RB
16;Chris Carson;SEA;192.3;28.4;ACTIVE;RB
17;Najee Harris;PIT;195.29;14.2;ACTIVE;RB
18;J.K. Dobbins;BAL;180.74;20.5;ACTIVE;RB
19;David Montgomery;CHI;184.72;27.0;ACTIVE;RB
20;Myles Gaskin;MIA;169.53;41.7;ACTIVE;RB
21;Kareem Hunt;CLE;141.55;42.8;ACTIVE;RB
22;James Robinson;JAX;137.85;37.2;ACTIVE;RB
23;Chase Edmonds;ARI;149.0;60.7;ACTIVE;RB
24;Travis Etienne Jr.;JAX;143.14;73.5;ACTIVE;RB
25;Mike Davis;ATL;146.26;48.5;ACTIVE;RB
26;Raheem Mostert;SF;130.82;50.6;ACTIVE;RB
27;Leonard Fournette;TB;130.17;75.8;ACTIVE;RB
28;David Johnson;HOU;140.69;81.8;ACTIVE;RB
29;Melvin Gordon III;DEN;121.23;122.1;ACTIVE;RB
30;Kenyan Drake;OAK;120.73;95.1;ACTIVE;RB
31;Javonte Williams;DEN;144.43;61.1;ACTIVE;RB
32;James Conner;ARI;134.98;77.1;QUESTIONABLE;RB
33;Ronald Jones II;TB;125.86;70.7;ACTIVE;RB
34;Darrell Henderson Jr.;LAR;191.9;84.5;QUESTIONABLE;RB
35;Damien Harris;NE;144.2;65.2;ACTIVE;RB
36;Cam Akers;LAR;0.0;104.6;OUT;RB
37;Nyheim Hines;IND;92.78;122.7;QUESTIONABLE;RB
38;Michael Carter;NYJ;110.47;91.1;ACTIVE;RB
39;AJ Dillon;GB;115.17;96.1;ACTIVE;RB
40;Devin Singletary;BUF;94.34;96.1;ACTIVE;RB
41;Zack Moss;BUF;116.82;79.2;QUESTIONABLE;RB
42;Trey Sermon;SF;99.39;83.7;ACTIVE;RB
43;J.D. McKissic;WSH;89.97;131.8;ACTIVE;RB
44;Jamaal Williams;DET;103.66;104.5;ACTIVE;RB
45;Tarik Cohen;CHI;84.64;159.2;OUT;RB
46;James White;NE;88.88;156.7;ACTIVE;RB
47;Latavius Murray;NO;93.98;106.7;ACTIVE;RB
48;Tony Pollard;DAL;85.27;102.0;ACTIVE;RB
49;Alexander Mattison;MIN;94.09;106.1;ACTIVE;RB
50;Gus Edwards;BAL;106.9;95.6;OUT;RB
51;Tevin Coleman;NYJ;79.63;133.2;ACTIVE;RB
52;Phillip Lindsay;HOU;81.32;114.7;ACTIVE;RB
53;Darrel Williams;KC;70.39;164.4;ACTIVE;RB
54;Chuba Hubbard;CAR;43.33;133.3;ACTIVE;RB
55;Sony Michel;NE;75.78;161.0;ACTIVE;RB
56;Giovani Bernard;TB;59.19;154.1;ACTIVE;RB
57;Rashaad Penny;SEA;71.8;140.3;ACTIVE;RB
58;Darrynton Evans;TEN;79.7;158.8;ACTIVE;RB
59;Todd Gurley II;None;0.0;154.0;ACTIVE;RB
60;Jeff Wilson Jr.;SF;0.0;155.5;OUT;RB
61;Devontae Booker;NYG;44.41;148.3;ACTIVE;RB
62;Marlon Mack;IND;51.95;152.4;ACTIVE;RB
63;Salvon Ahmed;MIA;64.27;159.2;ACTIVE;RB
64;Benny Snell Jr.;PIT;31.87;160.8;ACTIVE;RB
65;Xavier Jones;LAR;55.82;158.9;ACTIVE;RB
66;Justin Jackson;LAC;38.63;157.8;ACTIVE;RB
67;Wayne Gallman II;SF;45.2;166.9;ACTIVE;RB
68;Mark Ingram II;HOU;36.28;167.6;ACTIVE;RB
69;Kenneth Gainwell;PHI;30.58;169.0;ACTIVE;RB
70;Damien Williams;CHI;31.27;133.3;ACTIVE;RB
71;Malcolm Brown;MIA;54.04;169.7;ACTIVE;RB
72;Le'Veon Bell;None;0.0;212.0;ACTIVE;RB
73;Joshua Kelley;LAC;54.87;216.0;ACTIVE;RB
74;Ty Johnson;NYJ;64.78;224.0;ACTIVE;RB
