,Unnamed: 0,Name,Team,Bye,Age,Pos,PosRank,Points,ADP
0,0,Christian McCaffrey,CAR,13,25,RB,RB1,251.71,1.3
1,1,Dalvin Cook,MIN,7,25,RB,RB2,258.0,2.4
2,2,Derrick Henry,TEN,13,27,RB,RB3,248.23,2.5
3,3,Nick Chubb,CLE,13,25,RB,RB4,218.37,5.0
4,4,Alvin Kamara,NO,6,25,RB,RB5,243.33,5.0
5,5,Saquon Barkley,NYG,10,24,RB,RB6,226.85,5.4
6,6,Jonathan Taylor,IND,14,22,RB,RB7,211.15,6.8
7,7,Ezekiel Elliott,DAL,7,25,RB,RB8,218.46,7.4
8,8,Aaron Jones,GB,13,26,RB,RB9,223.96,9.3
9,9,Cam Akers,LAR,11,22,RB,RB10,189.13,12.1
10,10,Austin Ekeler,LAC,7,26,RB,RB11,193.33,14.4
11,11,Antonio Gibson,WAS,9,23,RB,RB12,204.52,16.3
12,12,Josh Jacobs,LV,8,23,RB,RB13,192.53,18.2
13,13,Joe Mixon,CIN,10,24,RB,RB14,198.06,19.7
14,14,J.K. Dobbins,BAL,8,22,RB,RB15,175.04,21.4
15,15,Clyde Edwards-Helaire,KC,12,22,RB,RB16,188.83,26.7
16,16,Miles Sanders,PHI,14,24,RB,RB17,192.3,29.2
17,17,Chris Carson,SEA,9,26,RB,RB18,195.29,32.0
18,18,James Robinson,JAX,7,22,RB,RB19,180.74,33.2
19,19,David Montgomery,CHI,10,24,RB,RB20,184.72,34.1
20,20,D'Andre Swift,DET,9,22,RB,RB21,169.53,34.9
21,21,Kareem Hunt,CLE,13,25,RB,RB22,141.55,39.4
22,22,Najee Harris,PIT,7,23,RB,RB23,137.85,42.2
23,23,Raheem Mostert,SF,6,29,RB,RB24,149.0,43.3
24,24,Melvin Gordon III,DEN,11,28,RB,RB25,143.14,45.9
25,25,Myles Gaskin,MIA,14,24,RB,RB26,146.26,48.5
26,26,Chase Edmonds,ARI,12,25,RB,RB27,130.82,58.6
27,27,Ronald Jones II,TB,9,23,RB,RB28,130.17,61.3
28,28,Mike Davis,ATL,6,28,RB,RB29,140.69,64.2
29,29,Leonard Fournette,TB,9,26,RB,RB30,121.23,69.3
30,30,James Conner,ARI,12,26,RB,RB31,120.73,73.2
31,31,Damien Harris,NE,14,24,RB,RB32,144.43,77.4
32,32,David Johnson,HOU,10,29,RB,RB33,134.98,77.7
33,33,Travis Etienne Jr.,JAX,7,22,RB,RB34,125.86,84.4
34,34,Jeff Wilson Jr.,SF,6,25,RB,RB35,191.9,84.5
35,35,Devin Singletary,BUF,7,23,RB,RB36,144.2,85.5
36,36,Kenyan Drake,LV,8,27,RB,RB37,0.0,89.3
37,37,Javonte Williams,DEN,11,21,RB,RB38,92.78,89.8
38,38,A.J. Dillon,GB,13,23,RB,RB39,110.47,90.0
39,39,Zack Moss,BUF,7,23,RB,RB40,115.17,96.1
40,40,Gus Edwards,BAL,8,26,RB,RB41,94.34,98.4
41,41,Latavius Murray,NO,6,31,RB,RB42,116.82,104.6
42,42,Tony Pollard,DAL,7,24,RB,RB43,99.39,106.1
43,43,Phillip Lindsay,HOU,10,26,RB,RB44,89.97,112.7
44,44,Nyheim Hines,IND,14,24,RB,RB45,103.66,113.8
45,45,Jamaal Williams,DET,9,26,RB,RB46,84.64,116.7
46,46,Mark Ingram II,HOU,10,31,RB,RB47,88.88,118.5
47,47,J.D. McKissic,WAS,9,27,RB,RB48,93.98,119.2
48,48,Alexander Mattison,MIN,7,23,RB,RB49,85.27,120.2
49,49,Damien Williams,CHI,10,29,RB,RB50,94.09,129.3
50,50,Rashaad Penny,SEA,9,25,RB,RB51,106.9,130.7
51,51,Michael Carter,NYJ,6,22,RB,RB52,79.63,134.0
52,52,Devontae Booker,NYG,10,29,RB,RB53,81.32,139.6
53,53,Sony Michel,NE,14,26,RB,RB54,70.39,140.5
54,54,James White,NE,14,29,RB,RB55,43.33,143.8
55,55,Trey Sermon,SF,6,22,RB,RB56,75.78,144.7
56,56,Rhamondre Stevenson,NE,14,23,RB,RB57,59.19,146.1
57,57,Anthony McFarland Jr.,PIT,7,23,RB,RB58,71.8,149.8
58,58,Tevin Coleman,NYJ,6,28,RB,RB59,79.7,151.8
59,59,Darrell Henderson Jr,LAR,11,23,RB,RB60,0.0,154.0
60,60,DeeJay Dallas,SEA,9,22,RB,RB61,0.0,155.5
61,61,Boston Scott,PHI,14,26,RB,RB62,44.41,157.0
62,62,Carlos Hyde,JAX,7,30,RB,RB63,51.95,157.8
63,63,Giovani Bernard,TB,9,29,RB,RB64,64.27,159.2
64,64,Marlon Mack,IND,14,25,RB,RB65,31.87,160.8
65,65,Tarik Cohen,CHI,10,25,RB,RB66,55.82,164.8
66,66,Kenneth Gainwell,PHI,14,22,RB,RB67,38.63,166.8
67,67,Darrel Williams,KC,12,26,RB,RB68,45.2,166.9
68,68,Justin Jackson,LAC,7,226,RB,RB69,36.28,167.6
69,69,Cordarrelle Patterson,ATL,6,30,RB,RB70,30.58,169.0
70,70,Jerick McKinnon,KC,12,29,RB,RB71,31.27,169.1
71,71,Malcolm Brown,MIA,14,28,RB,RB72,54.04,169.7
72,72,Joshua Kelley,LAC,7,23,RB,RB73,0.0,212.0
73,73,Chuba Hubbard,CAR,13,22,RB,RB74,54.87,216.0
74,74,Salvon Ahmed,MIA,14,22,RB,RB75,64.78,224.0
