Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Travis Kelce;KC;198.11;9.7;ACTIVE;TE
1;George Kittle;SF;142.98;30.2;ACTIVE;TE
2;Darren Waller;OAK;147.72;26.5;ACTIVE;TE
3;Mark Andrews;BAL;130.7;53.5;ACTIVE;TE
4;T.J. Hockenson;DET;117.6;58.1;ACTIVE;TE
5;Kyle Pitts;ATL;119.41;45.8;ACTIVE;TE
6;Logan Thomas;WSH;109.38;91.5;ACTIVE;TE
7;Dallas Goedert;PHI;96.25;86.5;ACTIVE;TE
8;Robert Tonyan;GB;97.94;91.0;ACTIVE;TE
9;Noah Fant;DEN;85.93;146.1;ACTIVE;TE
10;Mike Gesicki;MIA;88.94;117.9;ACTIVE;TE
11;Rob Gronkowski;TB;84.47;78.0;ACTIVE;TE
12;Irv Smith Jr.;MIN;84.55;154.3;ACTIVE;TE
13;Jonnu Smith;NE;82.29;128.7;ACTIVE;TE
14;Evan Engram;NYG;77.98;113.6;ACTIVE;TE
15;Eric Ebron;PIT;79.5;147.0;QUESTIONABLE;TE
16;Hunter Henry;NE;74.03;86.6;ACTIVE;TE
17;Austin Hooper;CLE;80.0;150.6;ACTIVE;TE
18;Tyler Higbee;LAR;80.23;143.4;ACTIVE;TE
19;Cole Kmet;CHI;70.37;154.0;ACTIVE;TE
20;Adam Trautman;NO;75.68;154.2;ACTIVE;TE
21;Zach Ertz;PHI;57.14;160.7;ACTIVE;TE
22;Jared Cook;LAC;73.89;160.5;ACTIVE;TE
23;Blake Jarwin;DAL;72.19;302.0;ACTIVE;TE
24;Anthony Firkser;TEN;68.55;305.0;ACTIVE;TE
25;Gerald Everett;SEA;61.52;153.0;ACTIVE;TE
26;O.J. Howard;TB;64.57;322.0;QUESTIONABLE;TE
27;Tim Tebow;JAX;0.0;326.0;ACTIVE;TE
28;Hayden Hurst;ATL;54.21;329.0;ACTIVE;TE
29;Dawson Knox;BUF;57.3;337.0;ACTIVE;TE
30;Pat Freiermuth;PIT;20.03;344.0;ACTIVE;TE
31;Chris Herndon;NYJ;44.21;349.0;ACTIVE;TE
32;Dalton Schultz;DAL;46.97;350.0;ACTIVE;TE
33;Jimmy Graham;CHI;41.44;352.0;ACTIVE;TE
34;Jack Doyle;IND;56.56;355.0;ACTIVE;TE
35;Jordan Akins;HOU;61.23;363.0;ACTIVE;TE
36;Dan Arnold;CAR;49.13;370.0;ACTIVE;TE
37;David Njoku;CLE;30.46;376.0;ACTIVE;TE
38;Will Dissly;SEA;44.96;378.0;ACTIVE;TE
39;Kyle Rudolph;NYG;37.23;388.0;OUT;TE
40;C.J. Uzomah;CIN;53.83;401.0;ACTIVE;TE
41;Mo Alie-Cox;IND;49.54;408.0;ACTIVE;TE
42;Harrison Bryant;CLE;29.45;415.0;ACTIVE;TE
43;Donald Parham Jr.;LAC;48.74;416.0;ACTIVE;TE
44;Hunter Long;MIA;11.39;419.0;ACTIVE;TE
45;Brevin Jordan;HOU;10.13;421.0;ACTIVE;TE
46;Noah Gray;KC;6.3;432.0;ACTIVE;TE
47;Albert Okwuegbunam;DEN;29.37;434.0;QUESTIONABLE;TE
48;Jacob Harris;LAR;17.81;437.0;QUESTIONABLE;TE
