Unnamed: 0;Name;Team;Points;ADP;Injury;Pos
0;Davante Adams;GB;209.53;10.5;ACTIVE;WR
1;Tyreek Hill;KC;214.59;9.1;ACTIVE;WR
2;Stefon Diggs;BUF;193.63;14.7;ACTIVE;WR
3;DeAndre Hopkins;ARI;179.22;20.4;ACTIVE;WR
4;DK Metcalf;SEA;187.69;18.1;ACTIVE;WR
5;Justin Jefferson;MIN;170.88;23.2;QUESTIONABLE;WR
6;A.J. Brown;TEN;182.8;25.4;ACTIVE;WR
7;Calvin Ridley;ATL;184.23;22.1;ACTIVE;WR
8;Keenan Allen;LAC;150.75;30.9;ACTIVE;WR
9;Mike Evans;TB;167.87;35.7;ACTIVE;WR
10;Terry McLaurin;WSH;164.94;33.1;ACTIVE;WR
11;Allen Robinson II;CHI;150.55;37.8;ACTIVE;WR
12;Julio Jones;TEN;153.12;39.9;QUESTIONABLE;WR
13;Adam Thielen;MIN;160.92;44.6;ACTIVE;WR
14;CeeDee Lamb;DAL;159.84;36.2;ACTIVE;WR
15;Amari Cooper;DAL;147.92;47.2;OUT;WR
16;Robert Woods;LAR;157.66;50.4;ACTIVE;WR
17;Tyler Lockett;SEA;145.76;64.0;ACTIVE;WR
18;Chris Godwin;TB;145.82;49.7;ACTIVE;WR
19;Michael Thomas;NO;114.99;42.9;OUT;WR
20;DJ Moore;CAR;153.4;58.8;ACTIVE;WR
21;Cooper Kupp;LAR;144.13;55.5;ACTIVE;WR
22;Diontae Johnson;PIT;136.38;64.1;ACTIVE;WR
23;Kenny Golladay;NYG;144.75;61.6;QUESTIONABLE;WR
24;Odell Beckham Jr.;CLE;136.32;66.8;QUESTIONABLE;WR
25;Ja'Marr Chase;CIN;141.02;57.0;ACTIVE;WR
26;JuJu Smith-Schuster;PIT;125.65;85.3;ACTIVE;WR
27;Brandon Aiyuk;SF;144.62;68.5;ACTIVE;WR
28;Chase Claypool;PIT;139.7;72.1;ACTIVE;WR
29;Tee Higgins;CIN;137.38;74.1;ACTIVE;WR
30;Courtland Sutton;DEN;150.89;83.4;QUESTIONABLE;WR
31;Robby Anderson;CAR;131.78;89.5;ACTIVE;WR
32;Brandin Cooks;HOU;135.36;114.8;ACTIVE;WR
33;DJ Chark Jr.;JAX;133.83;86.4;QUESTIONABLE;WR
34;Jerry Jeudy;DEN;130.91;104.1;ACTIVE;WR
35;Tyler Boyd;CIN;122.05;94.5;ACTIVE;WR
36;Deebo Samuel;SF;123.29;90.0;ACTIVE;WR
37;DeVonta Smith;PHI;127.18;79.8;QUESTIONABLE;WR
38;Laviska Shenault Jr.;JAX;126.75;116.1;ACTIVE;WR
39;Jarvis Landry;CLE;123.06;102.8;ACTIVE;WR
40;William Fuller V;MIA;123.66;124.6;SUSPENSION;WR
41;Michael Gallup;DAL;137.68;132.6;ACTIVE;WR
42;Curtis Samuel;WSH;132.61;130.5;OUT;WR
43;Jaylen Waddle;MIA;115.35;113.7;ACTIVE;WR
44;Marquise Brown;BAL;127.57;104.5;QUESTIONABLE;WR
45;Antonio Brown;TB;112.66;97.7;ACTIVE;WR
46;Corey Davis;NYJ;114.68;134.9;ACTIVE;WR
47;Cole Beasley;BUF;103.99;158.4;ACTIVE;WR
48;Henry Ruggs III;OAK;118.76;126.5;ACTIVE;WR
49;Marvin Jones Jr.;JAX;111.4;125.9;ACTIVE;WR
50;Mike Williams;LAC;120.08;111.8;ACTIVE;WR
51;T.Y. Hilton;IND;110.84;129.0;ACTIVE;WR
52;Jalen Reagor;PHI;110.93;133.2;ACTIVE;WR
53;DeVante Parker;MIA;99.27;137.9;ACTIVE;WR
54;Mecole Hardman;KC;108.39;121.2;ACTIVE;WR
55;Darnell Mooney;CHI;101.9;135.5;ACTIVE;WR
56;Michael Pittman Jr.;IND;94.18;96.2;ACTIVE;WR
57;Nelson Agholor;NE;106.49;161.3;ACTIVE;WR
58;Elijah Moore;NYJ;102.66;144.0;ACTIVE;WR
59;Russell Gage;ATL;94.17;157.1;ACTIVE;WR
60;Jamison Crowder;NYJ;91.15;160.1;ACTIVE;WR
61;Parris Campbell;IND;95.83;162.7;ACTIVE;WR
62;A.J. Green;ARI;86.54;156.2;QUESTIONABLE;WR
63;Rashod Bateman;BAL;90.39;154.9;ACTIVE;WR
64;Randall Cobb;GB;95.53;160.6;ACTIVE;WR
65;Jakobi Meyers;NE;98.89;172.9;ACTIVE;WR
66;Kadarius Toney;NYG;80.31;163.2;ACTIVE;WR
67;John Brown;OAK;76.33;163.3;ACTIVE;WR
68;Tre'Quan Smith;NO;81.47;163.1;QUESTIONABLE;WR
69;Allen Lazard;GB;60.87;163.9;ACTIVE;WR
70;Sterling Shepard;NYG;83.04;167.6;ACTIVE;WR
71;Breshad Perriman;DET;102.28;179.0;QUESTIONABLE;WR
72;Rondale Moore;ARI;90.25;180.0;QUESTIONABLE;WR
73;Tyrell Williams;DET;97.83;160.6;QUESTIONABLE;WR
74;Emmanuel Sanders;BUF;78.55;157.5;QUESTIONABLE;WR
