,Unnamed: 0,Name,Team,Bye,Age,Pos,PosRank,Points,ADP
0,0,Tyreek Hill,KC,12,27,WR,WR1,213.48,10.3
1,1,Davante Adams,GB,13,28,WR,WR2,207.66,11.7
2,2,Stefon Diggs,BUF,7,27,WR,WR3,193.55,14.0
3,3,DK Metcalf,SEA,9,23,WR,WR4,179.06,15.7
4,4,DeAndre Hopkins,ARI,12,29,WR,WR5,187.51,18.1
5,5,Calvin Ridley,ATL,6,26,WR,WR6,171.24,20.9
6,6,A.J. Brown,TEN,13,24,WR,WR7,182.79,22.8
7,7,Justin Jefferson,MIN,7,22,WR,WR8,183.76,25.4
8,8,Michael Thomas,NO,6,28,WR,WR9,150.69,29.0
9,9,Keenan Allen,LAC,7,29,WR,WR10,166.21,31.2
10,10,Mike Evans,TB,9,27,WR,WR11,163.24,36.5
11,11,Terry McLaurin,WAS,9,25,WR,WR12,150.58,37.8
12,12,Julio Jones,TEN,13,32,WR,WR13,153.13,39.8
13,13,Adam Thielen,MIN,7,30,WR,WR14,162.42,41.7
14,14,Allen Robinson II,CHI,10,27,WR,WR15,160.96,42.8
15,15,Chris Godwin,TB,9,25,WR,WR16,114.72,45.5
16,16,Amari Cooper,DAL,7,27,WR,WR17,159.22,48.3
17,17,Robert Woods,LAR,11,29,WR,WR18,157.7,51.6
18,18,CeeDee Lamb,DAL,7,22,WR,WR19,147.18,51.8
19,19,Kenny Golladay,NYG,10,27,WR,WR20,144.67,54.4
20,20,Tyler Lockett,SEA,9,28,WR,WR21,152.78,58.8
21,21,Cooper Kupp,LAR,11,28,WR,WR22,146.01,59.5
22,22,Diontae Johnson,PIT,7,25,WR,WR23,138.79,60.6
23,23,Odell Beckham Jr.,CLE,13,28,WR,WR24,144.22,63.5
24,24,DJ Moore,CAR,13,24,WR,WR25,142.58,66.8
25,25,Brandon Aiyuk,SF,6,23,WR,WR26,128.17,68.3
26,26,Chase Claypool,PIT,7,22,WR,WR27,141.26,69.8
27,27,Tee Higgins,CIN,10,22,WR,WR28,142.03,72.1
28,28,DJ Chark Jr.,JAX,7,24,WR,WR29,144.56,74.9
29,29,JuJu Smith-Schuster,PIT,7,24,WR,WR30,150.68,76.8
30,30,Tyler Boyd,CIN,10,26,WR,WR31,137.64,80.4
31,31,Courtland Sutton,DEN,11,25,WR,WR32,131.24,82.4
32,32,DeVonta Smith,PHI,14,22,WR,WR33,137.12,86.2
33,33,Jarvis Landry,CLE,13,28,WR,WR34,132.82,86.4
34,34,Ja'Marr Chase,CIN,10,21,WR,WR35,122.31,87.9
35,35,Brandin Cooks,HOU,10,27,WR,WR36,123.26,89.7
36,36,Robby Anderson,CAR,13,28,WR,WR37,130.75,90.2
37,37,Marquise Brown,BAL,8,24,WR,WR38,126.96,92.6
38,38,William Fuller V,MIA,14,27,WR,WR39,128.82,97.2
39,39,Deebo Samuel,SF,6,25,WR,WR40,123.13,100.8
40,40,DeVante Parker,MIA,14,28,WR,WR41,131.49,105.3
41,41,T.Y. Hilton,IND,14,31,WR,WR42,123.78,107.4
42,42,Michael Pittman Jr.,IND,14,23,WR,WR43,137.04,107.4
43,43,Jaylen Waddle,MIA,14,22,WR,WR44,115.46,107.5
44,44,Curtis Samuel,WAS,9,24,WR,WR45,127.5,110.6
45,45,Corey Davis,NYJ,6,26,WR,WR46,111.59,113.5
46,46,Antonio Brown,TB,9,32,WR,WR47,114.52,116.4
47,47,Mike Williams,LAC,7,26,WR,WR48,110.47,119.5
48,48,Cole Beasley,BUF,7,32,WR,WR49,118.7,123.0
49,49,Jerry Jeudy,DEN,11,22,WR,WR50,110.53,125.9
50,50,Lavishka Shenault Jr,JAX,7,22,WR,WR51,120.03,128.1
51,51,Marvin Jones Jr.,JAX,7,31,WR,WR52,111.14,130.0
52,52,Michael Gallup,DAL,7,25,WR,WR53,116.62,133.2
53,53,John Brown,LV,8,31,WR,WR54,99.37,136.6
54,54,Rashod Bateman,BAL,8,21,WR,WR55,107.94,138.8
55,55,Henry Ruggs III,LV,8,22,WR,WR56,101.98,138.9
56,56,Nelson Agholor,NE,14,28,WR,WR57,94.3,141.6
57,57,Mecole Hardman,KC,12,23,WR,WR58,85.66,147.2
58,58,Elijah Moore,NYJ,6,21,WR,WR59,106.38,154.2
59,59,Darnell Mooney,CHI,10,23,WR,WR60,93.94,159.0
60,60,Jamison Crowder,NYJ,6,28,WR,WR61,86.42,161.1
61,61,Denzel Mims,NYJ,6,23,WR,WR62,96.21,161.2
62,62,Emmanuel Sanders,BUF,7,34,WR,WR63,96.96,161.3
63,63,Gabriel Davis,BUF,7,22,WR,WR64,90.33,162.2
64,64,Darius Slayton,NYG,10,24,WR,WR65,80.87,162.3
65,65,Sammy Watkins,BAL,8,28,WR,WR66,89.0,162.4
66,66,Sterling Shepard,NYG,10,28,WR,WR67,60.46,163.2
67,67,Russell Gage,ATL,6,25,WR,WR68,98.83,163.3
68,68,DeSean Jackson,LAR,11,34,WR,WR69,81.27,164.9
69,69,A.J. Green,ARI,11,32,WR,WR70,94.88,164.9
70,70,Christian Kirk,ARI,12,24,WR,WR71,83.7,167.6
71,71,Tre'Quan Smith,NO,6,25,WR,WR72,101.94,179.0
72,72,Breshad Perriman,DET,9,27,WR,WR73,97.46,180.0
73,73,Jalen Reagor,PHI,14,22,WR,WR74,71.36,181.0
74,74,Rondale Moore,ARI,12,21,WR,WR75,74.02,182.0
