;Name;Team;Bye;Age;Pos;PosRank;Points;ADP
0;Michael Thomas;NO;6;27;WR;WR1;335.8;6.7
1;Davante Adams;GB;5;27;WR;WR2;296;10.7
2;Julio Jones;ATL;10;31;WR;WR3;289.6;13.6
3;Tyreek Hill;KC;10;26;WR;WR4;271.6;16.9
4;DeAndre Hopkins;ARI;8;28;WR;WR5;277.2;19.3
5;Chris Godwin;TB;13;24;WR;WR6;266.6;23.8
6;Kenny Golladay;DET;5;27;WR;WR7;246.6;26.7
7;Mike Evans;TB;13;27;WR;WR8;274.2;28.7
8;Adam Thielen;MIN;7;30;WR;WR9;248.6;30.6
9;D.J. Moore;CAR;13;23;WR;WR10;234.6;33
10;Odell Beckham Jr.;CLE;9;28;WR;WR11;230.5;34.5
11;Allen Robinson II;CHI;11;27;WR;WR12;243.4;34.5
12;JuJu Smith-Schuster;PIT;4;24;WR;WR13;228;36.2
13;Calvin Ridley;ATL;10;26;WR;WR14;219;38.6
14;Cooper Kupp;LAR;9;27;WR;WR15;238.4;39.5
15;Amari Cooper;DAL;10;26;WR;WR16;237.5;40.1
16;Robert Woods;LAR;9;28;WR;WR17;237.6;41.9
17;A.J. Brown;TEN;4;23;WR;WR18;230.2;42.8
18;DK Metcalf;SEA;6;23;WR;WR19;209.8;45.2
19;DJ Chark Jr.;JAX;8;24;WR;WR20;208;48.6
20;Terry McLaurin;WAS;8;25;WR;WR21;212.3;49.5
21;Tyler Lockett;SEA;6;28;WR;WR22;236;50
22;Keenan Allen;LAC;6;28;WR;WR23;234.5;51.6
23;Courtland Sutton;DEN;5;25;WR;WR24;227.8;56.4
24;T.Y. Hilton;IND;7;31;WR;WR25;229.2;58.4
25;Marquise Brown;BAL;7;23;WR;WR26;204.4;58.6
26;Stefon Diggs;BUF;11;27;WR;WR27;192.7;65
27;Will Fuller V;HOU;8;26;WR;WR28;165.2;69.7
28;Michael Gallup;DAL;10;24;WR;WR29;200.3;70.3
29;DeVante Parker;MIA;7;27;WR;WR30;197.9;70.3
30;Tyler Boyd;CIN;9;26;WR;WR31;215.4;74.5
31;A.J. Green;CIN;9;32;WR;WR32;222.7;78.7
32;Julian Edelman;NE;5;34;WR;WR33;190.6;81.2
33;Deebo Samuel;SF;11;24;WR;WR34;151.2;84.8
34;Brandin Cooks;HOU;8;27;WR;WR35;199.8;85.5
35;Jarvis Landry;CLE;9;28;WR;WR36;201.7;86.2
36;CeeDee Lamb;DAL;10;21;WR;WR37;172.4;90.6
37;Diontae Johnson;PIT;4;24;WR;WR38;172.1;94.3
38;Marvin Jones Jr.;DET;5;30;WR;WR39;188.5;99
39;Henry Ruggs III;LV;6;21;WR;WR40;157.5;100
40;Emmanuel Sanders;NO;6;33;WR;WR41;163.1;103.3
41;Jamison Crowder;NYJ;10;27;WR;WR42;188.9;105.2
42;Jerry Jeudy;DEN;5;21;WR;WR43;154.5;108.3
43;Sterling Shepard;NYG;11;27;WR;WR44;182.6;109.3
44;Mecole Hardman;KC;10;22;WR;WR45;161.6;114.8
45;Preston Williams;MIA;7;23;WR;WR46;167.9;118.5
46;Christian Kirk;ARI;8;24;WR;WR47;171;118.9
47;DeSean Jackson;PHI;9;34;WR;WR48;179.6;121.4
48;Darius Slayton;NYG;11;23;WR;WR49;160.9;122.2
49;Anthony Miller;CHI;11;26;WR;WR50;155.5;128.7
50;Justin Jefferson;MIN;7;21;WR;WR51;136.1;129.2
51;Jalen Reagor;PHI;9;21;WR;WR52;140.4;133.7
52;Allen Lazard;GB;5;25;WR;WR53;150.2;133.9
53;Sammy Watkins;KC;10;27;WR;WR54;147.1;135.3
54;Brandon Aiyuk;SF;11;22;WR;WR55;173.9;142.3
55;Golden Tate;NYG;11;32;WR;WR56;163.6;145.8
56;N'Keal Harry;NE;5;23;WR;WR57;161.5;149.1
57;John Brown;BUF;11;30;WR;WR58;167.5;149.5
58;Michael Pittman;IND;7;23;WR;WR59;149.2;155
59;Parris Campbell;IND;7;22;WR;WR60;148.6;155.9
60;Bryan Edwards;LV;6;22;WR;WR61;78.2;161.4
61;Larry Fitzgerald;ARI;8;37;WR;WR62;146.2;164.9
62;Breshad Perriman;NYJ;10;27;WR;WR63;164.4;173
63;Curtis Samuel;CAR;13;24;WR;WR64;156.9;174
64;Mike Williams;LAC;6;26;WR;WR65;155.3;175
65;Dede Westbrook;JAX;8;27;WR;WR66;150;176
66;Robby Anderson;CAR;13;27;WR;WR67;144.2;177
67;Hunter Renfrow;LV;6;25;WR;WR68;140.2;178
68;Cole Beasley;BUF;11;31;WR;WR69;134;179
69;James Washington;PIT;4;24;WR;WR70;127.1;180
70;Randall Cobb;HOU;8;30;WR;WR71;126.5;181
71;Danny Amendola;DET;5;35;WR;WR72;124.9;182
72;Corey Davis;TEN;4;25;WR;WR73;124.3;183
73;Chris Conley;JAX;8;28;WR;WR74;123.6;184
74;Josh Reynolds;LAR;9;25;WR;WR75;117.4;185
