,Name,Team,Bye,Age,Pos,PosRank,Points,ADP
0,Travis Kelce,KC,10,31,TE,TE1,166.2,22
1,George Kittle,SF,11,27,TE,TE2,157.3,27.3
2,Mark Andrews,BAL,7,25,TE,TE3,139.4,41.9
3,Zach Ertz,PHI,9,30,TE,TE4,132.6,54.3
4,Darren Waller,LV,6,28,TE,TE5,121.7,64.2
5,Rob Gronkowski,TB,13,31,TE,TE6,113.8,67.7
6,Evan Engram,NYG,11,26,TE,TE7,104.8,78.1
7,Hunter Henry,LAC,6,26,TE,TE8,103.4,89.2
8,Hayden Hurst,ATL,10,27,TE,TE9,123.5,96.5
9,Tyler Higbee,LAR,9,27,TE,TE10,102.7,97.1
10,Jared Cook,NO,6,33,TE,TE11,99.9,110.1
11,Noah Fant,DEN,5,23,TE,TE12,92.1,121.2
12,Austin Hooper,CLE,9,26,TE,TE13,89.8,131.9
13,T.J. Hockenson,DET,5,23,TE,TE14,86.4,147.4
14,Mike Gesicki,MIA,7,25,TE,TE15,97.3,147.8
15,Blake Jarwin,DAL,10,26,TE,TE16,82.1,148
16,Jonnu Smith,TEN,4,25,TE,TE17,76.3,148.3
17,Chris Herndon,NYJ,10,24,TE,TE18,71.1,153.1
18,Dallas Goedert,PHI,9,25,TE,TE19,99,282
19,Eric Ebron,PIT,4,27,TE,TE20,91.1,294
20,Jack Doyle,IND,7,30,TE,TE21,85.7,300
21,Greg Olsen,SEA,6,35,TE,TE22,83.4,303
22,Jimmy Graham,CHI,11,34,TE,TE23,78.9,307
23,Jace Sternberger,GB,5,24,TE,TE24,74.2,312
24,Irv Smith Jr.,MIN,7,22,TE,TE25,72.9,315
25,Ian Thomas,CAR,13,24,TE,TE26,66,321
26,Gerald Everett,LAR,9,26,TE,TE27,64.4,324
27,Dawson Knox,BUF,11,24,TE,TE28,62.5,327
28,Kyle Rudolph,MIN,7,31,TE,TE29,59.8,329
29,Devin Asiasi,NE,5,23,TE,TE30,58.4,330
30,Darren Fells,HOU,8,34,TE,TE31,56.2,336
31,Tyler Eifert,JAX,8,30,TE,TE32,53.4,340
32,Cole Kmet,CHI,11,21,TE,TE33,50.4,348
33,Nick Boyle,BAL,7,27,TE,TE34,48.4,350
34,Logan Thomas,WAS,8,29,TE,TE35,43.6,356
35,C.J. Uzomah,CIN,9,27,TE,TE36,40.6,359
36,Dan Arnold,ARI,8,25,TE,TE37,39.5,361
37,Dalton Keene,NE,5,21,TE,TE38,37.9,363
38,David Njoku,CLE,9,24,TE,TE39,36.2,368
39,James O'Shaughnessy,JAX,8,28,TE,TE40,34.8,371
40,Jordan Reed,SF,11,30,TE,TE41,34.2,375
41,Cameron Brate,TB,13,29,TE,TE42,33.1,376
42,Jeremy Sprinkle,WAS,8,26,TE,TE43,32.8,377
43,Jason Witten,LV,6,38,TE,TE44,32.5,380
44,Jacob Hollister,SEA,6,27,TE,TE45,32.1,381
45,Andrew Beck,DEN,5,24,TE,TE46,30.4,389
46,O.J. Howard,TB,13,26,TE,TE47,30.3,390
47,Anthony Firkser,TEN,4,25,TE,TE48,29.9,394
48,Robert Tonyan,GB,5,26,TE,TE49,29.3,400
49,Vance McDonald,PIT,4,30,TE,TE50,29,404
